"operator","route","survey_name","survey_year","weekpart","first_after","first_before","intercept","second_after","second_before","third_after","third_before","survey_boardings"
"AC Transit","AC TRANSIT___1 Berkeley BART to Bay Fair BART","AC Transit",2018,"WEEKDAY",0,0,9782.68113958333,0,0,0,0,12736.360061
"AC Transit","AC TRANSIT___10 San Leandro BART Hayward BART","AC Transit",2018,"WEEKDAY",0,0,1884.66532546667,0,0,0,0,2880.159001
"AC Transit","AC TRANSIT___12 Berkeley BART to Downtown Oakland","AC Transit",2018,"WEEKDAY",0,0,2443.8632535,0,0,0,0,2728.782011
"AC Transit","AC TRANSIT___14 Downtown Oakland to Fruitvale BART","AC Transit",2018,"WEEKDAY",0,0,3839.45922516667,0,0,0,0,4599.399984
"AC Transit","AC TRANSIT___18 University Village Albany to Montclair","AC Transit",2018,"WEEKDAY",0,0,3852.46497225,0,0,0,0,4477.379015
"AC Transit","AC TRANSIT___19 Downtown Oakland Fruitvale BART","AC Transit",2018,"WEEKDAY",0,0,416.072333833333,0,0,0,0,630.940001
"AC Transit","AC TRANSIT___20 Dimond District Oakland to downtown Oakland","AC Transit",2018,"WEEKDAY",0,0,2545.14229733333,0,0,0,0,2804.382004
"AC Transit","AC TRANSIT___200 Union City BART Fremont BART","AC Transit",2018,"WEEKDAY",0,0,921.6887075,0,0,0,0,1272.617997
"AC Transit","AC TRANSIT___21 Dimond Dist to Oakland Airport","AC Transit",2018,"WEEKDAY",0,0,1387.670933,0,0,0,0,1717.778998
"AC Transit","AC TRANSIT___210 Ohlone College to Union Landing Shopping Center","AC Transit",2018,"WEEKDAY",0,0,1349.09560866667,0,0,0,0,1441.641002
"AC Transit","AC TRANSIT___212 Fremont BART to NewPark Mall","AC Transit",2018,"WEEKDAY",0,0,655.14024275,0,0,0,0,956.358994
"AC Transit","AC TRANSIT___215 Fremont BART to Gateway Blvd & Lakeside Pkwy","AC Transit",2018,"WEEKDAY",0,0,158.485963666667,0,0,0,0,257.320002
"AC Transit","AC TRANSIT___216 Ohlone College Newark Campus to Union City BART","AC Transit",2018,"WEEKDAY",0,0,329.702832333333,0,0,0,0,357.378999
"AC Transit","AC TRANSIT___217 Fremont BART to Great Mall","AC Transit",2018,"WEEKDAY",0,0,926.867680083333,0,0,0,0,1359.340002
"AC Transit","AC TRANSIT___22 Hayward BART","AC Transit",2018,"WEEKDAY",0,0,1367.93647833333,0,0,0,0,1704.569007
"AC Transit","AC TRANSIT___232 Fremont BART to New Park Mall","AC Transit",2018,"WEEKDAY",0,0,355.351005,0,0,0,0,425.188
"AC Transit","AC TRANSIT___239 Fremont BART to Warm Springs Blvd & Dixon Landing Rd","AC Transit",2018,"WEEKDAY",0,0,522.2759855,0,0,0,0,590.190002
"AC Transit","AC TRANSIT___251 Fremont BART to NewPark Mall","AC Transit",2018,"WEEKDAY",0,0,138.898698666667,0,0,0,0,208.150005
"AC Transit","AC TRANSIT___29 Emeryville West Oakland BART Lakeshore","AC Transit",2018,"WEEKDAY",0,0,881.433817666667,0,0,0,0,1087.93
"AC Transit","AC TRANSIT___32 Hayward BART to Castro Valley BART","AC Transit",2018,"WEEKDAY",0,0,445.313080666667,0,0,0,0,542.990999
"AC Transit","AC TRANSIT___33 Montclair Highland","AC Transit",2018,"WEEKDAY",0,0,2368.32120933333,0,0,0,0,2817.029008
