ID,DATE,WEEKDAY_OR_WEEKEND,ROUTE_SURVEYED_CODE,ROUTE_SURVEYED,DIRECTION,ORIGIN_PLACE_TYPE_CODE,ORIGIN_PLACE_TYPE,ORIGIN_NAME,ACCESS_MODE_CODE,ACCESS_MODE,DESTINATION_PLACE_TYPE_CODE,DESTINATION_PLACE_TYPE,EGRESS_MODE_CODE,EGRESS_MODE,LAST_LEFT_HOME_CODE,LAST_LEFT_HOME,RETURN_HOME_CODE,RETURN_HOME,PAY_MODE_CODE,PAY_MODE,FARE_TYPE_CODE,FARE_TYPE,EMPLOYMENT_STATUS_CODE,EMPLOYMENT_STATUS,WORK_BEFORE_TRIP_CODE,WORK_BEFORE_TRIP,WORK_AFTER_TRIP_CODE,WORK_AFTER_TRIP,STUDENT_STATUS_CODE,STUDENT_STATUS,BEEN_2SCHOOL_TODAY_CODE,BEEN_2SCHOOL_TODAY,WILL_GO2SCHOOL_TODAY_CODE,WILL_GO2SCHOOL_TODAY,PPL_IN_HH_CODE,PPL_IN_HH,EMPLYD_IN_HH_CODE,EMPLYD_IN_HH,VEH_IN_HH_CODE,VEH_IN_HH,HAVE_DRIVERS_LIC_CODE,HAVE_DRIVERS_LIC,YEAR_BORN,HISP_LATINO_SPANISH_CODE,HISP_LATINO_SPANISH,RACE_AMERICANINDIAN_ALASKANNATIVE,RACE_ASIAN,RACE_BLACK_AFRICANAM,RACE_NATHAWAIIAN_PACISLAND,RACE_WHITE,RACE_OR_ETHNICITY_OTHER,LANG_OTHER_THAN_ENG_CODE,LANG_OTHER_THAN_ENG,OTHER_LANG_CODE,OTHER_LANG,ENGLISH_FLUENCY_CODE,ENGLISH_FLUENCY,HH_INCOME_CODE,HH_INCOME,GENDER_CODE,GENDER,TIME_BOARDED_CODE,TIME_BOARDED,TIME_PERIOD_CODE,TIME_PERIOD,UNLINKED_WGHT_FCTR_NAME,UNLINKED_WGHT_FCTR,TOTAL_TRANSFERS,LINKED_TRIP_FACTOR,,
939,05/14/14,Weekday,11S,11 N Vallejo/Redwood PNR [Southbound],S,1,Your Home,HOME,1,Walked all the way (includes skateboard / non-motorized scooter),5,School (K-12 student only),1,Walk all the way (includes skateboard / non-motorized scooter),2,5 - 6 a.m.,15,6 - 7 p.m.,1,Cash Fare,1,Adult,N,No,N,No,N,No,Y,Yes,N,No,Y,Yes,A4,4,0,None,1,1,N,No,1995,Y,Yes,No,No,No,No,No,Hispanic,Y,Yes,504,Chinese,1,Very well,3,"$25,000-$34,999",1,Male,2,6 - 6:59 a.m.,AM2,AM PEAK,11S_AM2,5.826086957,1,0.5,,
940,05/14/14,Weekday,10N,10 NVC/Calistoga [Northbound],N,1,Your Home,HOME,1,Walked all the way (includes skateboard / non-motorized scooter),2,Work,1,Walk all the way (includes skateboard / non-motorized scooter),4,7 - 8 a.m.,13,4 - 5 p.m.,1,Cash Fare,1,Adult,Y,Yes,N,No,Y,Yes,N,No,N,No,N,No,A5,5,1,1,1,1,Y,Yes,1974,Y,Yes,No,No,No,No,No,Hispanic,Y,Yes,143,Spanish,1,Very well,2,"$10,000-$24,999",1,Male,3,7 - 7:59 a.m.,AM2,AM PEAK,10N_AM2,8.683229814,2,0.333333333,,
941,05/14/14,Weekday,11S,11 N Vallejo/Redwood PNR [Southbound],S,1,Your Home,HOME,1,Walked all the way (includes skateboard / non-motorized scooter),2,Work,1,Walk all the way (includes skateboard / non-motorized scooter),3,6 - 7 a.m.,16,7 - 8 p.m.,1,Cash Fare,1,Adult,Y,Yes,N,No,Y,Yes,N,No,N,No,N,No,A5,5,2,2,2,2,Y,Yes,1965,N,No,No,No,No,No,Yes,,N,No,,,,,10,"$150,000 or more",1,Male,3,7 - 7:59 a.m.,AM2,AM PEAK,11S_AM2,5.826086957,3,0.25,,
943,05/14/14,Weekday,11N,11 N Vallejo/Redwood PNR [Northbound],N,1,Your Home,HOME,1,Walked all the way (includes skateboard / non-motorized scooter),4,College/university (student only),1,Walk all the way (includes skateboard / non-motorized scooter),4,7 - 8 a.m.,12,3 - 4 p.m.,1,Cash Fare,1,Adult,Y,Yes,N,No,N,No,Y,Yes,N,No,Y,Yes,A2,2,1,1,0,None,N,No,1990,N,No,No,No,Yes,No,No,,N,No,,,,,2,"$10,000-$24,999",1,Male,3,7 - 7:59 a.m.,AM2,AM PEAK,11N_AM2,8.879227053,0,1,,
947,05/14/14,Weekday,11N,11 N Vallejo/Redwood PNR [Northbound],N,1,Your Home,HOME,7,Was dropped off by someone,4,College/university (student only),1,Walk all the way (includes skateboard / non-motorized scooter),4,7 - 8 a.m.,9,12 - 1 p.m.,1,Cash Fare,1,Adult,Y,Yes,N,No,Y,Yes,Y,Yes,N,No,Y,Yes,A3,3,1,1,0,None,N,No,1988,N,No,No,No,Yes,No,Yes,,N,No,,,,,3,"$25,000-$34,999",2,Female,3,7 - 7:59 a.m.,AM2,AM PEAK,11N_AM2,8.879227053,0,1,,
949,05/14/14,Weekday,11S,11 N Vallejo/Redwood PNR [Southbound],S,1,Your Home,HOME,1,Walked all the way (includes skateboard / non-motorized scooter),3,Business appointment,1,Walk all the way (includes skateboard / non-motorized scooter),4,7 - 8 a.m.,8,11 a.m. - 12 p.m.,3,20 - Ride Pass,1,Adult,Y,Yes,N,No,N,No,N,No,N,No,N,No,A1,1,0,None,0,None,Y,Yes,1964,N,No,No,No,No,No,Yes,,N,No,,,,,5,"$40,000 - $49,999",1,Male,3,7 - 7:59 a.m.,AM2,AM PEAK,11S_AM2,5.826086957,1,0.5,,
951,05/14/14,Weekday,11N,11 N Vallejo/Redwood PNR [Northbound],N,1,Your Home,HOME,1,Walked all the way (includes skateboard / non-motorized scooter),2,Work,1,Walk all the way (includes skateboard / non-motorized scooter),3,6 - 7 a.m.,14,5 - 6 p.m.,1,Cash Fare,1,Adult,Y,Yes,N,No,Y,Yes,N,No,N,No,N,No,A3,3,2,2,2,2,Y,Yes,1991,N,No,No,No,Yes,No,No,,N,No,,,,,2,"$10,000-$24,999",2,Female,3,7 - 7:59 a.m.,AM2,AM PEAK,11N_AM2,8.879227053,1,0.5,,
952,05/14/14,Weekday,02LP,2 Outlets/Old Sonoma/Laurel [Loop],LP,1,Your Home,HOME,1,Walked all the way (includes skateboard / non-motorized scooter),2,Work,1,Walk all the way (includes skateboard / non-motorized scooter),4,7 - 8 a.m.,14,5 - 6 p.m.,4,31 - Day Pass,1,Adult,Y,Yes,N,No,Y,Yes,N,No,N,No,N,No,A2,2,2,2,1,1,N,No,1992,Y,Yes,No,No,No,No,No,Mexican,Y,Yes,488,Hawaiian,1,Very well,1,"Less than $10,000",2,Female,3,7 - 7:59 a.m.,AM2,AM PEAK,02LP_AM2,7.35326087,1,0.5,,
953,05/14/14,Weekday,04LP,4 Shetler/South Napa Marketplace [Loop],LP,1,Your Home,HOME,1,Walked all the way (includes skateboard / non-motorized scooter),5,School (K-12 student only),1,Walk all the way (includes skateboard / non-motorized scooter),3,6 - 7 a.m.,12,3 - 4 p.m.,3,20 - Ride Pass,3,Student,N,No,N,No,N,No,Y,Yes,N,No,Y,Yes,A5,5,3,3,3,3,N,No,2003,Y,Yes,No,No,No,Yes,No,,Y,Yes,208,Korean,2,Well,88,I don't know,1,Male,3,7 - 7:59 a.m.,AM2,AM PEAK,04LP_AM2,8.768115942,0,1,,
955,05/14/14,Weekday,11N,11 N Vallejo/Redwood PNR [Northbound],N,1,Your Home,HOME,1,Walked all the way (includes skateboard / non-motorized scooter),2,Work,7,Get picked up by someone,4,7 - 8 a.m.,20,After 11 p.m.,4,31 - Day Pass,2,Senior / Disabled,Y,Yes,N,No,Y,Yes,N,No,N,No,N,No,A2,2,1,1,0,None,N,No,1957,N,No,No,No,Yes,No,No,,N,No,,,,,1,"Less than $10,000",1,Male,3,7 - 7:59 a.m.,AM2,AM PEAK,11N_AM2,8.879227053,1,0.5,,
957,05/14/14,Weekday,10S,10 NVC/Calistoga [Southbound],S,6,Shopping,CAL MART,1,Walked all the way (includes skateboard / non-motorized scooter),10,Social or recreational,1,Walk all the way (includes skateboard / non-motorized scooter),15,6 - 7 p.m.,88,I don't know / I am not certain,2,Day Pass,1,Adult,N,No,N,No,N,No,N,No,N,No,N,No,A1,1,0,None,2,2,Y,Yes,1960,Y,Yes,No,No,No,No,No,Hispanic,Y,Yes,143,Spanish,2,Well,3,"$25,000-$34,999",2,Female,15,7 - 7:59 p.m.,PM2,LATE PM,10S_PM2,4.782608696,0,1,,
958,05/14/14,Weekday,02LP,2 Outlets/Old Sonoma/Laurel [Loop],LP,1,Your Home,HOME,1,Walked all the way (includes skateboard / non-motorized scooter),3,Business appointment,1,Walk all the way (includes skateboard / non-motorized scooter),4,7 - 8 a.m.,10,1 - 2 p.m.,4,31 - Day Pass,1,Adult,N,No,N,No,N,No,N,No,N,No,N,No,A5,5,0,None,2,2,Y,Yes,1983,N,No,No,Yes,No,No,No,Arabic,Y,Yes,13,"Arabic, Standard",1,Very well,1,"Less than $10,000",1,Male,4,8 - 8:59 a.m.,AM2,AM PEAK,02LP_AM2,7.35326087,1,0.5,,
961,05/14/14,Weekday,11S,11 N Vallejo/Redwood PNR [Southbound],S,1,Your Home,HOME,1,Walked all the way (includes skateboard / non-motorized scooter),2,Work,1,Walk all the way (includes skateboard / non-motorized scooter),4,7 - 8 a.m.,14,5 - 6 p.m.,1,Cash Fare,1,Adult,Y,Yes,N,No,Y,Yes,N,No,N,No,N,No,A3,3,1,1,1,1,Y,Yes,1976,Y,Yes,No,No,No,Yes,No,,Y,Yes,143,Spanish,1,Very well,6,"$50,000-$59,999",1,Male,4,8 - 8:59 a.m.,AM2,AM PEAK,11S_AM2,5.826086957,1,0.5,,
